[0156] ERROR discovered vulnerabilities at or above the severity threshold
NAME                           INSTALLED         FIXED IN          TYPE          VULNERABILITY        SEVERITY  EPSS           RISK
netty-codec-redis              4.1.108.Final     4.1.135.Final     java-archive  GHSA-3244-j874-rhc2  High      0.4% (31st)    0.3
netty-codec-redis              4.1.124.Final     4.1.135.Final     java-archive  GHSA-3244-j874-rhc2  High      0.4% (31st)    0.3
elasticsearch                  7.17.29           8.15.1            java-archive  GHSA-ghfh-p92w-j4mg  Medium    0.5% (40th)    0.3
bcprov-jdk18on                 1.78.1            1.80.2            java-archive  GHSA-574f-3g2m-x479  Critical  0.3% (23rd)    0.3
netty-handler-proxy            4.1.108.Final     4.1.133.Final     java-archive  GHSA-45q3-82m4-75jr  Low       1.0% (57th)    0.3
netty-handler-proxy            4.1.124.Final     4.1.133.Final     java-archive  GHSA-45q3-82m4-75jr  Low       1.0% (57th)    0.3
bcprov-jdk18on                 1.78.1            1.84              java-archive  GHSA-c3fc-8qff-9hwx  Medium    0.5% (41st)    0.3
netty-codec-http2              4.1.108.Final     4.1.136.Final     java-archive  GHSA-93wv-jw9v-4972  High      0.4% (29th)    0.3
netty-codec-http2              4.1.124.Final     4.1.136.Final     java-archive  GHSA-93wv-jw9v-4972  High      0.4% (29th)    0.3
jackson-databind               2.12.7.1          2.14.0            java-archive  GHSA-3wrr-7qpf-2prh  Medium    0.5% (37th)    0.3
jackson-databind               2.13.3            2.14.0            java-archive  GHSA-3wrr-7qpf-2prh  Medium    0.5% (37th)    0.3
bcpkix-jdk15on                 1.69              1.79              java-archive  GHSA-4cx2-fc23-5wg6  Medium    0.5% (37th)    0.3
netty-resolver-dns             4.1.108.Final     4.1.135.Final     java-archive  GHSA-5pvg-856g-cp85  High      0.3% (24th)    0.3
netty-resolver-dns             4.1.124.Final     4.1.135.Final     java-archive  GHSA-5pvg-856g-cp85  High      0.3% (24th)    0.3
netty-codec-mqtt               4.1.108.Final     4.1.133.Final     java-archive  GHSA-jfg9-48mv-9qgx  Medium    0.5% (39th)    0.3
netty-codec-mqtt               4.1.124.Final     4.1.133.Final     java-archive  GHSA-jfg9-48mv-9qgx  Medium    0.5% (39th)    0.3
calcite-core                   1.27.0            1.42.0            java-archive  GHSA-c2rv-hwqm-wjpg  Medium    0.4% (35th)    0.3
commons-configuration2         2.10.1            2.15.0            java-archive  GHSA-337m-mw94-2v6g  Medium    0.5% (38th)    0.2
commons-configuration2         2.8.0             2.15.0            java-archive  GHSA-337m-mw94-2v6g  Medium    0.5% (38th)    0.2
commons-compress               1.21              1.26.0            java-archive  GHSA-4g9r-vxhx-9pgx  Medium    0.4% (36th)    0.2
log4j-core                     2.17.1            2.25.4            java-archive  GHSA-6hg6-v5c8-fphq  Medium    0.4% (33rd)    0.2
bcpkix-jdk15on                 1.69              1.84              java-archive  GHSA-wg6q-6289-32hp  Medium    0.4% (31st)    0.2
logback-core                   1.3.14            1.3.15            java-archive  GHSA-pr98-23f8-jwxv  Medium    0.4% (33rd)    0.2
google-oauth-client            1.32.1            1.33.3            java-archive  GHSA-hw42-3568-wj87  High      0.3% (21st)    0.2
netty-common                   4.1.108.Final     4.1.115.Final     java-archive  GHSA-xq3w-v528-46rv  Medium    0.4% (33rd)    0.2
netty-common                   4.1.68.Final      4.1.115.Final     java-archive  GHSA-xq3w-v528-46rv  Medium    0.4% (33rd)    0.2
netty-codec-http               4.1.108.Final     4.1.136.Final     java-archive  GHSA-6cqp-g7gg-8hr5  Medium    0.4% (29th)    0.2
netty-codec-http               4.1.124.Final     4.1.136.Final     java-archive  GHSA-6cqp-g7gg-8hr5  Medium    0.4% (29th)    0.2
netty-codec-http               4.1.108.Final     4.1.133.Final     java-archive  GHSA-m4cv-j2px-7723  Medium    0.4% (29th)    0.2
netty-codec-http               4.1.124.Final     4.1.133.Final     java-archive  GHSA-m4cv-j2px-7723  Medium    0.4% (29th)    0.2
netty-handler                  4.1.108.Final     4.1.135.Final     java-archive  GHSA-c653-97m9-rcg9  High      0.3% (20th)    0.2
netty-handler                  4.1.124.Final     4.1.135.Final     java-archive  GHSA-c653-97m9-rcg9  High      0.3% (20th)    0.2
netty-handler                  4.1.68.Final      4.1.135.Final     java-archive  GHSA-c653-97m9-rcg9  High      0.3% (20th)    0.2
spring-security-core           5.7.12            5.7.14            java-archive  GHSA-q3v6-hm2v-pw99  Medium    0.4% (31st)    0.2
netty-common                   4.1.108.Final     4.1.118.Final     java-archive  GHSA-389x-839f-4rhx  Medium    0.4% (31st)    0.2
netty-common                   4.1.68.Final      4.1.118.Final     java-archive  GHSA-389x-839f-4rhx  Medium    0.4% (31st)    0.2
netty-resolver-dns             4.1.108.Final     4.1.135.Final     java-archive  GHSA-676x-f7gg-47vc  High      0.2% (16th)    0.2
netty-resolver-dns             4.1.124.Final     4.1.135.Final     java-archive  GHSA-676x-f7gg-47vc  High      0.2% (16th)    0.2
netty-codec                    4.1.108.Final     4.1.136.Final     java-archive  GHSA-558v-64gr-wgg4  High      0.2% (15th)    0.2
netty-codec                    4.1.124.Final     4.1.136.Final     java-archive  GHSA-558v-64gr-wgg4  High      0.2% (15th)    0.2
netty-codec                    4.1.68.Final      4.1.136.Final     java-archive  GHSA-558v-64gr-wgg4  High      0.2% (15th)    0.2
netty-codec-http               4.1.108.Final     4.1.125.Final     java-archive  GHSA-fghv-69vj-qj49  Low       0.6% (46th)    0.2
netty-codec-http               4.1.124.Final     4.1.125.Final     java-archive  GHSA-fghv-69vj-qj49  Low       0.6% (46th)    0.2
jose4j                         0.6.5             0.9.6             java-archive  GHSA-3677-xxcr-wjqv  High      0.2% (16th)    0.2
jackson-databind               2.12.7.1          2.18.9            java-archive  GHSA-5jmj-h7xm-6q6v  Medium    0.3% (27th)    0.2
jackson-databind               2.13.3            2.18.9            java-archive  GHSA-5jmj-h7xm-6q6v  Medium    0.3% (27th)    0.2
jackson-databind               2.17.2            2.18.9            java-archive  GHSA-5jmj-h7xm-6q6v  Medium    0.3% (27th)    0.2
netty-codec-http2              4.1.108.Final     4.1.136.Final     java-archive  GHSA-c69g-56f8-xwqj  Medium    0.3% (21st)    0.2
netty-codec-http2              4.1.124.Final     4.1.136.Final     java-archive  GHSA-c69g-56f8-xwqj  Medium    0.3% (21st)    0.2
netty-codec-http               4.1.108.Final     4.1.136.Final     java-archive  GHSA-q4f6-jm68-57ww  Medium    0.3% (21st)    0.2
netty-codec-http               4.1.124.Final     4.1.136.Final     java-archive  GHSA-q4f6-jm68-57ww  Medium    0.3% (21st)    0.2
netty-codec-http               4.1.108.Final     4.1.129.Final     java-archive  GHSA-84h7-rjj3-6jx4  Medium    0.3% (22nd)    0.2
netty-codec-http               4.1.124.Final     4.1.129.Final     java-archive  GHSA-84h7-rjj3-6jx4  Medium    0.3% (22nd)    0.2
tomcat-embed-core              9.0.113           9.0.116           java-archive  GHSA-8mc5-53m5-3qj2  Medium    0.3% (23rd)    0.2
netty-codec-http2              4.1.108.Final     4.1.135.Final     java-archive  GHSA-563q-j3cm-6jxm  Medium    0.3% (22nd)    0.2
netty-codec-http2              4.1.124.Final     4.1.135.Final     java-archive  GHSA-563q-j3cm-6jxm  Medium    0.3% (22nd)    0.2
netty-codec-http               4.1.108.Final     4.1.133.Final     java-archive  GHSA-v8h7-rr48-vmmv  Medium    0.3% (23rd)    0.2
netty-codec-http               4.1.124.Final     4.1.133.Final     java-archive  GHSA-v8h7-rr48-vmmv  Medium    0.3% (23rd)    0.2
jackson-core                   2.12.3            2.13.0            java-archive  GHSA-wf8f-6423-gfxg  Medium    0.3% (26th)    0.2
jackson-core                   2.12.7            2.13.0            java-archive  GHSA-wf8f-6423-gfxg  Medium    0.3% (26th)    0.2
jackson-core                   2.4.0             2.13.0            java-archive  GHSA-wf8f-6423-gfxg  Medium    0.3% (26th)    0.2
netty-resolver-dns             4.1.108.Final     4.1.135.Final     java-archive  GHSA-xmv7-r254-6q78  Medium    0.3% (17th)    0.2
netty-resolver-dns             4.1.124.Final     4.1.135.Final     java-archive  GHSA-xmv7-r254-6q78  Medium    0.3% (17th)    0.2
netty-codec-http2              4.1.108.Final     4.1.135.Final     java-archive  GHSA-5x3r-wrvg-rp6q  Medium    0.3% (21st)    0.2
netty-codec-http2              4.1.124.Final     4.1.135.Final     java-archive  GHSA-5x3r-wrvg-rp6q  Medium    0.3% (21st)    0.2
netty-codec-http               4.1.108.Final     4.1.136.Final     java-archive  GHSA-gcjf-9mgh-3p7g  Medium    0.3% (20th)    0.2
netty-codec-http               4.1.124.Final     4.1.136.Final     java-archive  GHSA-gcjf-9mgh-3p7g  Medium    0.3% (20th)    0.2
netty-codec-http               4.1.108.Final     4.1.136.Final     java-archive  GHSA-4mp9-239f-g9hg  Medium    0.3% (18th)    0.2
netty-codec-http               4.1.124.Final     4.1.136.Final     java-archive  GHSA-4mp9-239f-g9hg  Medium    0.3% (18th)    0.2
netty-codec-stomp              4.1.108.Final     4.1.136.Final     java-archive  GHSA-3g8r-4pfx-jmfh  Medium    0.2% (16th)    0.1
netty-codec-stomp              4.1.124.Final     4.1.136.Final     java-archive  GHSA-3g8r-4pfx-jmfh  Medium    0.2% (16th)    0.1
netty-codec-http               4.1.108.Final     4.1.133.Final     java-archive  GHSA-38f8-5428-x5cv  Medium    0.2% (16th)    0.1
netty-codec-http               4.1.124.Final     4.1.133.Final     java-archive  GHSA-38f8-5428-x5cv  Medium    0.2% (16th)    0.1
jackson-databind               2.17.2            2.18.8            java-archive  GHSA-3pjw-73gf-8qr5  Medium    0.2% (16th)    0.1
zookeeper                      3.9.2             3.9.4             java-archive  GHSA-2hmj-97jw-28jh  Medium    0.3% (21st)    0.1
netty-handler-ssl-ocsp         4.1.108.Final     4.1.136.Final     java-archive  GHSA-272m-gcwp-mpwg  High      0.2% (8th)     0.1
netty-handler-ssl-ocsp         4.1.124.Final     4.1.136.Final     java-archive  GHSA-272m-gcwp-mpwg  High      0.2% (8th)     0.1
guava                          25.0-jre          32.0.0-android    java-archive  GHSA-7g45-4rm6-3mm3  Medium    0.2% (16th)    0.1
guava                          25.1-jre          32.0.0-android    java-archive  GHSA-7g45-4rm6-3mm3  Medium    0.2% (16th)    0.1
elasticsearch                  7.17.29           8.18.8            java-archive  GHSA-56r7-h6mw-rcfv  Medium    0.2% (14th)    0.1
netty-codec-http               4.1.108.Final     4.1.135.Final     java-archive  GHSA-hvcg-qmg6-jm4c  Medium    0.2% (14th)    0.1
netty-codec-http               4.1.124.Final     4.1.135.Final     java-archive  GHSA-hvcg-qmg6-jm4c  Medium    0.2% (14th)    0.1
tomcat-embed-core              9.0.113           9.0.118           java-archive  GHSA-9m89-8frq-c98c  Low       0.4% (27th)    0.1
netty-codec-redis              4.1.108.Final     4.1.133.Final     java-archive  GHSA-rgrr-p7gp-5xj7  Medium    0.2% (9th)     0.1
netty-codec-redis              4.1.124.Final     4.1.133.Final     java-archive  GHSA-rgrr-p7gp-5xj7  Medium    0.2% (9th)     0.1
jackson-databind               2.12.7.1          2.18.8            java-archive  GHSA-hgj6-7826-r7m5  Medium    0.2% (12th)    0.1
jackson-databind               2.13.3            2.18.8            java-archive  GHSA-hgj6-7826-r7m5  Medium    0.2% (12th)    0.1
jackson-databind               2.17.2            2.18.8            java-archive  GHSA-hgj6-7826-r7m5  Medium    0.2% (12th)    0.1
jackson-databind               2.4.0             2.18.8            java-archive  GHSA-hgj6-7826-r7m5  Medium    0.2% (12th)    0.1
logback-core                   1.3.14            1.5.34            java-archive  GHSA-jhq6-gfmj-v8fx  Low       0.4% (29th)    0.1
hadoop-common                  3.2.2             3.4.0             java-archive  GHSA-f5fw-25gw-5m92  Low       0.4% (31st)    0.1
netty-handler-ssl-ocsp         4.1.108.Final     4.1.136.Final     java-archive  GHSA-g7hg-vrcf-mvmr  High      0.1% (3rd)     0.1
netty-handler-ssl-ocsp         4.1.124.Final     4.1.136.Final     java-archive  GHSA-g7hg-vrcf-mvmr  High      0.1% (3rd)     0.1
logback-core                   1.3.14            1.3.16            java-archive  GHSA-25qh-j22f-pwp8  Medium    0.2% (7th)     < 0.1
elasticsearch                  7.17.29           8.19.8            java-archive  GHSA-m9gh-789g-q5pv  Medium    0.2% (5th)     < 0.1
netty-handler-ssl-ocsp         4.1.108.Final     4.1.136.Final     java-archive  GHSA-wc96-39fc-566f  High      0.1% (1st)     < 0.1
netty-handler-ssl-ocsp         4.1.124.Final     4.1.136.Final     java-archive  GHSA-wc96-39fc-566f  High      0.1% (1st)     < 0.1
logback-core                   1.3.14            1.5.33            java-archive  GHSA-p47f-322f-whfh  Low       0.4% (29th)    < 0.1
netty-transport-native-epoll   4.1.108.Final     4.1.135.Final     java-archive  GHSA-w573-9ffj-6ff9  Medium    0.1% (3rd)     < 0.1
netty-transport-native-epoll   4.1.118.Final     4.1.135.Final     java-archive  GHSA-w573-9ffj-6ff9  Medium    0.1% (3rd)     < 0.1
netty-transport-native-epoll   4.1.124.Final     4.1.135.Final     java-archive  GHSA-w573-9ffj-6ff9  Medium    0.1% (3rd)     < 0.1
netty-transport-native-epoll   4.1.68.Final      4.1.135.Final     java-archive  GHSA-w573-9ffj-6ff9  Medium    0.1% (3rd)     < 0.1
netty-transport-native-kqueue  4.1.108.Final     4.1.135.Final     java-archive  GHSA-w573-9ffj-6ff9  Medium    0.1% (3rd)     < 0.1
netty-transport-native-kqueue  4.1.124.Final     4.1.135.Final     java-archive  GHSA-w573-9ffj-6ff9  Medium    0.1% (3rd)     < 0.1
logback-core                   1.3.14            1.3.15            java-archive  GHSA-6v67-2wr5-gvf4  Low       0.2% (13th)    < 0.1
netty-codec-haproxy            4.1.108.Final     4.1.136.Final     java-archive  GHSA-wh89-7897-x99h  Medium    0.1% (1st)     < 0.1
netty-codec-haproxy            4.1.124.Final     4.1.136.Final     java-archive  GHSA-wh89-7897-x99h  Medium    0.1% (1st)     < 0.1
logback-core                   1.3.14            1.5.25            java-archive  GHSA-qqpg-mvqg-649v  Low       0.2% (5th)     < 0.1
jackson-core                   2.12.3            2.18.8            java-archive  GHSA-r7wm-3cxj-wff9  High      N/A            N/A
jackson-core                   2.12.7            2.18.8            java-archive  GHSA-r7wm-3cxj-wff9  High      N/A            N/A
jackson-core                   2.13.3            2.18.8            java-archive  GHSA-r7wm-3cxj-wff9  High      N/A            N/A
jackson-core                   2.17.2            2.18.8            java-archive  GHSA-r7wm-3cxj-wff9  High      N/A            N/A
jackson-core                   2.4.0             2.18.8            java-archive  GHSA-r7wm-3cxj-wff9  High      N/A            N/A
jetty-security                 9.4.44.v20210927  9.4.63            java-archive  GHSA-2fvj-hgj9-j2gr  High      N/A            N/A
netty-codec-xml                4.1.108.Final     4.1.136.Final     java-archive  GHSA-v74w-7mr3-4qg3  High      N/A            N/A
netty-codec-xml                4.1.124.Final     4.1.136.Final     java-archive  GHSA-v74w-7mr3-4qg3  High      N/A            N/A
jackson-core                   2.12.3            2.18.6            java-archive  GHSA-72hv-8253-57qq  Medium    N/A            N/A
jackson-core                   2.12.7            2.18.6            java-archive  GHSA-72hv-8253-57qq  Medium    N/A            N/A
jackson-core                   2.13.3            2.18.6            java-archive  GHSA-72hv-8253-57qq  Medium    N/A            N/A
jackson-core                   2.17.2            2.18.6            java-archive  GHSA-72hv-8253-57qq  Medium    N/A            N/A
jackson-core                   2.4.0             2.18.6            java-archive  GHSA-72hv-8253-57qq  Medium    N/A            N/A
jose4j                         0.6.5             0.9.3             java-archive  GHSA-jgvc-jfgh-rjvv  Medium    N/A            N/A
netty-codec-dns                4.1.108.Final     4.1.136.Final     java-archive  GHSA-mfg7-5gfp-c4w3  Medium    N/A            N/A
netty-codec-dns                4.1.124.Final     4.1.136.Final     java-archive  GHSA-mfg7-5gfp-c4w3  Medium    N/A            N/A
jetty-xml                      9.4.44.v20210927  9.4.52.v20230823  java-archive  GHSA-58qw-p7qm-5rvh  Low       N/A            N/A
